S.No,Geographical Indications,Goods,State,State 2,State 3,State 4,State 5,State 6,State 7
312,Katarni Rice,Agricultural,Bihar,,,,,,
313,Magahi Paan,Agricultural,Bihar,,,,,,
314,Ghazipur Wall-hanging,Handicraft,Uttar Pradesh,,,,,,
315,Varanasi Soft Stone Jali Work,Handicraft,Uttar Pradesh,,,,,,
316,Bengal Dokra,Handicraft,West Bengal,,,,,,
317,Bengal Patachitra,Handicraft,West Bengal,,,,,,
318,Purulia Chau Mask,Handicraft,West Bengal,,,,,,
319,Wooden Mask of Kushmandi,Handicraft,West Bengal,,,,,,
320,Madur kathi,Handicraft,West Bengal,,,,,,
321,Jhabua Kadaknath Black Chicken Meat,Food Stuff,Madhya Pradesh,,,,,,
322,Boka Chaul,Agricultural,Assam,,,,,,
323,Grana Padano,Manufactured,Italy,,,,,,
324,Alphonso,Agricultural,Maharashtra,,,,,,
325,RajKot Patola,Handicraft,Gujarat,,,,,,
326,Shahi Litchi of Bihar,Agricultural,Bihar,,,,,,
327,Sangli Turmeric,Agricultural,Maharashtra,,,,,,
328,Pethapur Printing Blocks,Handicraft,Gujarat,,,,,,
329,Kolhapuri Chappal,Handicraft,Maharashtra,Karnataka,,,,,
330,Silao Khaja,Food Stuff,Bihar,,,,,,
331,Coorg Arabica Coffee,Agricultural,Karnataka,,,,,,
332,Wayanaad Robusta Coffee,Agricultural,Kerala,,,,,,
333,Chikmagalur Arabica Coffee,Agricultural,Karnataka,,,,,,
334,Araku Valley Arabica Coffee,Agricultural,Andhra Pradesh,Odisha,,,,,
335,Bababudangiris Arabica Coffee,Agricultural,Karnataka,,,,,,
336,Himachali Kala Zeera,Agricultural,Himachal Pradesh,,,,,,
337,Sirsi Supari,Agricultural,Karnataka,,,,,,
338,Himachali Chulli Oil,Manufactured,Himachal Pradesh,,,,,,
339,Chunar Balua Patthar,Natural,Uttar Pradesh,,,,,,
340,Erode Manjal (Erode Turmeric),Agricultural,Tamil Nadu,,,,,,
341,Marayoor Jaggery (Marayoor Sharkara),Agricultural,Kerala,,,,,,
342,Thirubuvanam Silk Sarees,Handicraft,Tamil Nadu,,,,,,
343,Jeeraphool,Agricultural,Chhattisgarh,,,,,,
344,Kandhamal Haladi,Agricultural,Odisha,,,,,,
345,Odisha Rasagola,Food Stuff,Odisha,,,,,,
346,Kodaikanal Malai Poondu,Agricultural,Tamil Nadu,,,,,,
347,Pawndum,Handicraft,Mizoram,,,,,,
348,Ngotekherh,Handicraft,Mizoram,,,,,,
349,Hmaram,Handicraft,Mizoram,,,,,,
350,Palani Panchamirtham,Food Stuff,Tamil Nadu,,,,,,
351,Tawlhlohpuan,Handicraft,Mizoram,,,,,,
352,Mizo Puanchei,Handicraft,Mizoram,,,,,,
353,Gulbarga Tur Dal,Agricultural,Karnataka,,,,,,
354,Tirur Betel Leaf (Tirur Vettila),Agricultural,Kerala,,,,,,
355,Irish Whiskey,Manufactured,Ireland,,,,,,
356,Khola Chilli,Agricultural,Goa,,,,,,
357,Idu Mishmi Textiles,Handicraft,Arunachal Pradesh,,,,,,
358,Dindigul Locks,Handicraft,Tamil Nadu,,,,,,
359,Kandangi Saree,Handicraft,Tamil Nadu,,,,,,
360,Srivilliputtur Palkova,Food Stuff,Tamil Nadu,,,,,,
361,Kaji Nemu,Agricultural,Assam,,,,,,
362,Chokuwa Rice of Assam,Agricultural,Assam,,,,,,
363,Kovilpatti Kadalai Mittai,Food Stuff,Tamil Nadu,,,,,,
364,Chak - Hao,Agricultural,Manipur,Nagaland,,,,,
365,Gorakhpur Terracotta,Handicraft,Uttar Pradesh,,,,,,
366,Kashmir Saffron,Agricultural,Jammu & Kashmir,,,,,,
367,Thanjavur Netti Works,Handicraft,Tamil Nadu,,,,,,
368,Arumbavur Wood Carvings,Handicraft,Tamil Nadu,,,,,,
369,Telia Rumal,Handicraft,Telangana,,,,,,
370,Sohrai – Khovar Painting,Handicraft,Jharkhand,,,,,,
371,Chunar Glaze Pottery,Handicraft,Uttar Pradesh,,,,,,
372,Sojat Mehndi,Agricultural,Rajasthan,,,,,,
373,Karuppur Kalamkari Paintings,Handicraft,Tamil Nadu,,,,,,
374,Kallakurichi Wood Carving,Handicraft,Tamil Nadu,,,,,,
375,Bhotia Dann of Uttarakhand,Handicraft,Uttarakhand,,,,,,
376,Judima,Manufactured,Assam,,,,,,
377,Chios Mastiha,Manufactured,Greece,,,,,,
378,Gorgonzola,Food Stuff,Italy,,,,,,
379,Brunello Di Montalcino,Manufactured,Italy,,,,,,
380,Lambrusco Di Sorbara,Manufactured,Italy,,,,,,
381,Lambrusco Grasparossa Di Castelvetro,Manufactured,Italy,,,,,,
382,Balaghat Chinnor,Agricultural,Madhya Pradesh,,,,,,
383,Kuttiattoor Mango (Kuttiattoor Manga),Agricultural,Kerala,,,,,,
384,Montepulciano D’abruzzo,Manufactured,Italy,,,,,,
385,Pithora,Handicraft,Gujarat,,,,,,
386,Manjusha Art,Handicraft,Bihar,,,,,,
387,Harmal Chilli,Agricultural,Goa,,,,,,
388,Edayur Chilli,Agricultural,Kerala,,,,,,
389,Uttarakhand Aipan,Handicraft,Uttarakhand,,,,,,
390,Munsyari Razma,Agricultural,Uttarakhand,,,,,,
391,Uttarakhand Ringal Craft,Handicraft,Uttarakhand,,,,,,
392,Uttarakhand Tamta Product,Handicraft,Uttarakhand,,,,,,
393,Uttarakhand Thulma,Handicraft,Uttarakhand,,,,,,
394,Myndoli Banana,Agricultural,Goa,,,,,,
395,Banaras Zardozi,Handicraft,Uttar Pradesh,,,,,,
396,Mirzapur Pital Bartan,Handicraft,Uttar Pradesh,,,,,,
397,Banaras Wood Carving,Handicraft,Uttar Pradesh,,,,,,
398,Banaras Hand Block Print,Handicraft,Uttar Pradesh,,,,,,
399,Kumaon Chyura Oil,Agricultural,Uttarakhand,,,,,,
400,Goan Khaje,Food Stuff,Goa,,,,,,
401,Rataul Mango,Agricultural,Uttar Pradesh,,,,,,
402,Tamenglong Orange,Agricultural,Manipur,,,,,,
403,Chamba Chappal,Handicraft,Himachal Pradesh,,,,,,
404,Mau Saree,Handicraft,Uttar Pradesh,,,,,,
405,Lahauli Knitted Socks & Gloves,Handicraft,Himachal Pradesh,,,,,,
406,Kanniyakumari Clove,Agricultural,Tamil Nadu,,,,,,
407,Sirarakhong Hathei,Agricultural,Manipur,,,,,,
408,Naga Cucumber,Agricultural,Nagaland,,,,,,
409,Žatecký chmel’,Manufactured,Czech Republic,,,,,,
410,Münchener Bier,Manufactured,Germany,,,,,,
411,Mahoba Desawari Pan,Agricultural,Uttar Pradesh,Madhya Pradesh,,,,,
412,Toscano,Manufactured,Italy,,,,,,
413,Mizo Ginger,Agricultural,Mizoram,,,,,,
414,Dalle Khursani,Agricultural,Sikkim,West Bengal,,,,,
415,Conegliano Valdobbiadene Prosecco,Manufactured,Italy,,,,,,
416,Franciacorta,Manufactured,Italy,,,,,,
417,Chianti,Manufactured,Italy,,,,,,
418,Bayerisches Bier,Manufactured,Germany,,,,,,
419,Irish Cream / Irish Cream Liqueur,Manufactured,Ireland,,,,,,
420,Narasinghapettai Nagaswaram,Handicraft,Tamil Nadu,,,,,,
421,Mithila Makhana,Agricultural,Bihar,,,,,,
422,Brandy De Jerez,Manufactured,Spain,,,,,,
423,Provolone Valpadana,Manufactured,Italy,,,,,,
424,Alibag White Onion,Agricultural,Maharashtra,,,,,,
425,Attappady Aattukombu Avara,Agricultural,Kerala,,,,,,
426,Attappady Thuvara,Agricultural,Kerala,,,,,,
427,Onattukara Ellu,Agricultural,Kerala,,,,,,
428,Kanthalloor Vattavada Veluthulli,Agricultural,Kerala,,,,,,
429,Kodungallur Pottuvellari,Agricultural,Kerala,,,,,,
430,Tandur Redgram,Agricultural,Telangana,,,,,,
431,Ladakh Raktsey Karpo Apricot,Agricultural,Ladakh (UT),,,,,,
432,Gamosa of Assam,Handicraft,Assam,,,,,,
433,Českobudějovické Pivo,Manufactured,Czech Republic,,,,,,
434,Vino Nobile Di Montepulciano,Manufactured,Italy,,,,,,
435,Nagri Dubraj,Agricultural,Chhattisgarh,,,,,,
436,Morena Gajak,Food Stuff,Madhya Pradesh,,,,,,
437,Rewa Sunderja Mango,Agricultural,Madhya Pradesh,,,,,,
438,Sharbati Gehu,Agricultural,Madhya Pradesh,,,,,,
439,Gond Painting of Madhya Pradesh,Handicraft,Madhya Pradesh,,,,,,
440,Adamchini Chawal,Agricultural,Uttar Pradesh,,,,,,
441,Ramnathapuram Mundu Chilli,Agricultural,Tamil Nadu,,,,,,
442,Vellore Spiny Brinjal,Agricultural,Tamil Nadu,,,,,,
443,Myladi Stone Carvings,Handicraft,Tamil Nadu,,,,,,
444,Manapparai Murukku,Food Stuff,Tamil Nadu,,,,,,
445,Ooty Varkey,Food Stuff,Tamil Nadu,,,,,,
446,Manamadurai Pottery,Handicraft,Tamil Nadu,,,,,,
447,Thaikkal Rattan Craft,Handicraft,Tamil Nadu,,,,,,
448,Aligarh Tala,Handicraft,Uttar Pradesh,,,,,,
449,Bakhira Brassware,Handicraft,Uttar Pradesh,,,,,,
450,Banda Shazar Patthar craft,Handicraft,Uttar Pradesh,,,,,,
451,Nagina Wood Craft,Handicraft,Uttar Pradesh,,,,,,
452,Pratapgarh Aonla,Agricultural,Uttar Pradesh,,,,,,
453,Hathras Hing,Food Stuff,Uttar Pradesh,,,,,,
454,Chilean Pisco,Manufactured,Chile,,,,,,
455,Mata ni Pachhedi,Handicraft,Gujarat,,,,,,
456,Wrought Iron Crafts of Dindori,Handicraft,Madhya Pradesh,,,,,,
457,Ujjain Batik Print,Handicraft,Madhya Pradesh,,,,,,
458,Gwalior Handmade Carpet,Handicraft,Madhya Pradesh,,,,,,
459,Waraseoni Handloom Saree & Fabrics,Handicraft,Madhya Pradesh,,,,,,
460,Jabalpur Stone Craft,Handicraft,Madhya Pradesh,,,,,,
461,Salem Sago (Javvarisi),Food Stuff,Tamil Nadu,,,,,,
462,Banaras Langda Aam (Mango),Agricultural,Uttar Pradesh,,,,,,
463,Ramnagar Bhanta (Brinjal),Agricultural,Uttar Pradesh,,,,,,
464,Authoor  Vetrilai,Agricultural,Tamil Nadu,,,,,,
465,Muzaffarnagar Gur (Jaggery),Food Stuff,Uttar Pradesh,,,,,,
466,Pashmina Wool of Ladakh,Handicraft,Ladakh (UT),,,,,,
467,Banaras Pan (Betel Leaf),Agricultural,Uttar Pradesh,,,,,,
468,Cumbum Panneer Thratchai,Agricultural,Tamil Nadu,,,,,,
469,Indi Limbe,Agricultural,Karnataka,,,,,,
470,Basohli Painting,Handicraft,Jammu & Kashmir (UT),,,,,,
471,Negamam Cotton Saree,Handicraft,Tamil Nadu,,,,,,
472,Ladakh Shingskos (Wood Carving),Handicraft,Ladakh (UT),,,,,,
473,Sholavandan Vetrilai,Agricultural,Tamil Nadu,,,,,,
474,Marthandam Honey,Food Stuff,Tamil Nadu,,,,,,
475,Kari Ishad Mango,Agricultural,Karnataka,,,,,,
476,Mahoba Gaura Patthar Hastashlip,Handicraft,Uttar Pradesh,,,,,,
477,Mainpuri Tarkashi,Handicraft,Uttar Pradesh,,,,,,
478,Sambhal Horn Craft,Handicraft,Uttar Pradesh,,,,,,
479,Amroha Dholak,Handicraft,Uttar Pradesh,,,,,,
480,Baghpat Home Furnishings,Handicraft,Uttar Pradesh,,,,,,
481,Barabanki Handloom Product,Handicraft,Uttar Pradesh,,,,,,
482,Kalpi Handmade Paper,Handicraft,Uttar Pradesh,,,,,,
483,Atreyapuram Pootharekulu,Food Stuff,Andhra Pradesh,,,,,,
484,Ladakh Seabuckthorn,Agricultural,Ladakh (UT),,,,,,
485,Bhandara Chinoor Rice,Agricultural,Maharashtra,,,,,,
486,Jaderi Namakatti,Handicraft,Tamil Nadu,,,,,,
487,Agra Leather Footwear,Manufactured,Uttar Pradesh,,,,,,
488,Nathdwara Pichhwai Painting,Handicraft,Rajasthan,,,,,,
489,Kanyakumari Matti Banana,Agricultural,Tamil Nadu,,,,,,
490,Mushqbudji Rice,Agricultural,Jammu & Kashmir,,,,,,
491,Chedibutta Saree,Handicraft,Tamil Nadu,,,,,,
492,Agsechi Vayingim (Agassaim Brinjal),Agricultural,Goa,,,,,,
493,Rajouri Chikri Wood Craft,Handicraft,Jammu & Kashmir,,,,,,
494,Sat Shiro Bheno (Sat Shirancho Bhendo),Agricultural,Goa,,,,,,
495,Marcha Rice,Agricultural,Bihar,,,,,,
496,Jalesar Dhatu Shilp (Metal Craft),Handicraft,Uttar Pradesh,,,,,,
497,Goa Mankurad Mango,Agricultural,Goa,,,,,,
498,Goan Bebinca,Food Stuff,Goa,,,,,,
499,Udaipur Koftgari Metal Craft,Handicraft,Rajasthan,,,,,,
500,Bikaner Kashidakari Craft,Handicraft,Rajasthan,,,,,,
501,Jodhpur Bandhej Craft,Handicraft,Rajasthan,,,,,,
502,Bikaner Usta Kala Craft,Handicraft,Rajasthan,,,,,,
503,Bhaderwah Rajmash,Agricultural,Jammu & Kashmir,,,,,,
504,Ramban Sulai Honey,Food Stuff,Jammu & Kashmir,,,,,,
505,Udangudi Panangkarupatti,Food Stuff,Tamil Nadu,,,,,,
506,Goa Cashew (Kaju Or Caju),Agricultural,Goa,,,,,,
507,Basohli Pashmina Woolen Products,Handicraft,Jammu & Kashmir,,,,,,
508,Kendrapara Rasabali,Food Stuff,Odisha,,,,,,
509,Arunachal Pradesh Khaw Tai” (Khamti Rice),Agricultural,Arunachal Pradesh,,,,,,
510,Udhampur Kaladi,Food Stuff,Jammu & Kashmir,,,,,,
511,Arunachal Pradesh Yak Churpi,Food Stuff,Arunachal Pradesh,,,,,,
512,Arunachal Pradesh Tangsa Textile Product,Handicraft,Arunachal Pradesh,,,,,,
513,Uttarakhand Berinag Tea,Agricultural,Uttarakhand,,,,,,
514,Uttarakhand Bichhu Buti (Nettle) Fabrics,Handicraft,Uttarakhand,,,,,,
515,Uttarakhand Mandua,Agricultural,Uttarakhand,,,,,,
516,Uttarakhand Jhangora,Agricultural,Uttarakhand,,,,,,
517,Uttarakhand Gahat,Agricultural,Uttarakhand,,,,,,
518,Uttarakhand Lal Chawal (Red Rice),Agricultural,Uttarakhand,,,,,,
519,Uttarakhand Kala Bhat,Agricultural,Uttarakhand,,,,,,
520,Uttarakhand Malta Fruit,Agricultural,Uttarakhand,,,,,,
521,Uttarakhand Chaulai (Ramdana),Agricultural,Uttarakhand,,,,,,
522,Almora Lakhori Mirchi,Agricultural,Uttarakhand,,,,,,
523,Uttarakhand Buransh,Food Stuff,Uttarakhand,,,,,,
524,Uttarakhand Pahari Toor Dal,Agricultural,Uttarakhand,,,,,,
525,Nainital Mombatti (Candle),Manufactured,Uttarakhand,,,,,,
526,Rangwali Pichhoda of Kumaon,Handicraft,Uttarakhand,,,,,,
527,Ramnagar Nainital Litchi,Agricultural,Uttarakhand,,,,,,
528,Ramgarh Nainital Aadu (Peach),Agricultural,Uttarakhand,,,,,,
529,Chamoli Wooden Ramman Mask,Handicraft,Uttarakhand,,,,,,
530,Uttarakhand Likhai (Wood Carving),Handicraft,Uttarakhand,,,,,,
531,Odisha Khajuri Guda,Food Stuff,Odisha,,,,,,
532,Tangail Saree of Bengal,Handicraft,West Bengal,,,,,,
533,Garad Saree,Handicraft,West Bengal,,,,,,
534,Korial saree,Handicraft,West Bengal,,,,,,
535,Dhenkanal Magji,Food Stuff,Odisha,,,,,,
536,Similipal Kai Chutney of Odisha,Food Stuff,Odisha,,,,,,
537,Nayagarh Kanteimundi Brinjal,Agricultural,Odisha,,,,,,
538,Kalonunia Rice,Agricultural,West Bengal,,,,,,
539,Kachchhi Kharek,Agricultural,Gujarat,,,,,,
540,Sundarban Honey,Food Stuff,West Bengal,,,,,,
541,Kapadaganda: Dungaria Kondh Embroidery Shawl,Handicraft,Odisha,,,,,,
542,Ramban Anardana,Agricultural,Jammu and Kashmir,,,,,,
543,Koraput Kalajeera Rice,Agricultural,Odisha,,,,,,
544,Arunachal Pradesh Handmade Carpet,Handicraft,Arunachal Pradesh,,,,,,
545,Arunachal Pradesh Wancho Wooden Craft,Handicraft,Arunachal Pradesh,,,,,,
546,Arunachal Pradesh Adi Kekir (Ginger),Agricultural,Arunachal Pradesh,,,,,,
547,"Painting of Lanjia Saura (IDITAL), Odisha",Handicraft,Odisha,,,,,,
548,Sawantwadi Ganjifa Cards,Handicraft,Maharashtra,,,,,,
549,Arunachal Pradesh Apatani Textile,Handicraft,Arunachal Pradesh,,,,,,
550,Arunachal Pradesh Monpa Textile,Handicraft,Arunachal Pradesh,,,,,,
551,Arunachal Pradesh Nyishi Textile,Handicraft,Arunachal Pradesh,,,,,,
552,Arunachal Pradesh Monpa Handmade Paper,Handicraft,Arunachal Pradesh,,,,,,
553,Arunachal Pradesh Adi Textile,Handicraft,Arunachal Pradesh,,,,,,
554,Arunachal Pradesh Singpho Phalap (Singpho Tea),Agricultural,Arunachal Pradesh,Assam,,,,,
555,Arunachal Pradesh Galo Textile,Handicraft,Arunachal Pradesh,,,,,,
556,Arunachal Pradesh Adi Apong,Manufactured,Arunachal Pradesh,,,,,,
557,Arunachal Pradesh Dao (Sword),Manufactured,Arunachal Pradesh,,,,,,
558,Arunachal Pradesh Angnyat Millet,Agricultural,Arunachal Pradesh,,,,,,
559,Arunachal Pradesh Marua Apo (Marua Millet Beverage),Manufactured,Arunachal Pradesh,,,,,,
560,Arunachal Pradesh Tai Khamti Textile,Handicraft,Arunachal Pradesh,,,,,,
561,Sitia Lasithiou Kritis,Food Stuff,Greece,,,,,,
562,Kalamata,Food Stuff,Greece,,,,,,
563,Barolo,Manufactured,Italy,,,,,,
564,Banglar Muslin,Handicraft,West Bengal,,,,,,
565,Narasapur Crochet Lace Products,Handicraft,Andhra Pradesh,,,,,,
566,Kutch Rogan Craft,Handicraft,Gujarat,,,,,,
567,Cuttack Rupa Tarakasi (Silver Filigree),Handicraft,Odisha,,,,,,
568,Ratlam Riyawan Lahsun (Garlic),Agricultural,Madhya Pradesh,,,,,,
569,Tripura Risa Textile,Handicraft,Tripura,,,,,,
570,Hyderabad Lac Bangles,Handicraft,Telangana,,,,,,
571,Majuli Mask of Assam,Handicraft,Assam,,,,,,
572,Assam Majuli Manuscript Painting,Handicraft,Assam,,,,,,
573,Ambaji White Marble,Natural,Gujarat,,,,,,
574,Patchwork of Rampur,Handicraft,Uttar Pradesh,,,,,,
575,Lakadong Turmeric,Agricultural,Meghalaya,,,,,,
576,Kutch Bandhani,Handicraft,Gujarat,,,,,,
577,Vasmat Haldi (Turmeric),Agricultural,Maharashtra,,,,,,
578,Nandurbar Amchur,Agricultural,Maharashtra,,,,,,
579,Nandurbar Mirchi,Agricultural,Maharashtra,,,,,,
580,Miraj Tanpura,Handicraft,Maharashtra,,,,,,
581,Hupari Silver Craft,Handicraft,Maharashtra,,,,,,
582,Miraj Sitar,Handicraft,Maharashtra,,,,,,
583,Sawantwadi Wooden Craft,Handicraft,Maharashtra,,,,,,
584,Mathura Sanjhi Craft,Handicraft,Uttar Pradesh,,,,,,
585,Bundelkhand Kathiya Gehu (Wheat),Agricultural,Uttar Pradesh,Madhya Pradesh,,,,,
586,Banaras Tabla,Handicraft,Uttar Pradesh,,,,,,
587,Banaras Lal Bharwamirch,Agricultural,Uttar Pradesh,,,,,,
588,Pilibhit Bansuri,Handicraft,Uttar Pradesh,,,,,,
589,Panchincholi Tamarind,Agricultural,Maharashtra,,,,,,
590,Borsuri Tur Dal,Agricultural,Maharashtra,,,,,,
591,Kasti Coriander,Agricultural,Maharashtra,,,,,,
592,Chiraigaon Karonda of Varanasi,Agricultural,Uttar Pradesh,,,,,,
593,Gharchola Craft of Gujarat,Handicraft,Gujarat,,,,,,
594,Banaras Lal Peda,Food stuff,Uttar Pradesh,,,,,,
595,Badlapur Jamun,Agricultural,Maharashtra,,,,,,
596,Banaras Shehnai,Handicraft,Uttar Pradesh,,,,,,
597,Sambhal Bone Craft,Handicraft,Uttar Pradesh,,,,,,
598,Moonj Craft of Uttar Pradesh,Handicraft,Uttar Pradesh,,,,,,
599,Chitrakoot Wooden Craft & Toys,Handicraft,Uttar Pradesh,,,,,,
600,Bahadoli Jamun,Agricultural,Maharashtra,,,,,,
601,Pen Ganesh Idol,Handicraft,Maharashtra,,,,,,
602,Kunthalgiri Khawa,Food stuff,Maharashtra,,,,,,
603,Kavdi Maal of Tuljapur,Handicraft,Maharashtra,,,,,,
604,Dagdi Jowar of Jalna,Agricultural,Maharashtra,,,,,,
605,Bodo Dokhona,Handicraft,Assam,,,,,,
606,Bodo Eri Silk,Handicraft,Assam,,,,,,
607,Bodo Jwmgra,Handicraft,Assam,,,,,,
608,Bodo Gamsa,Handicraft,Assam,,,,,,
609,Bodo Keradapini,Agricultural,Assam,,,,,,
610,Bodo Thorkha,Handicraft,Assam,,,,,,
